FullDate,Month,Day,Year,Season,Start (ET),Visitor/Neutral,Visitor Pts,Home/Neutral,Home Pts,OTGames,Attendance,Notes,Season,Month,Covered Line,Away ATS,Home ATS,CoveredO/U,O/U,Date,Key,Capacity,New Stadium Season,Years in Stadium
6/13/2019,6,13,2019,2019,9:00p,TOR,114,GSW,110,,"19,596",,2019,June,N,2.5,-2.5,O,211.5,Thu,GSW2019,18064,0,0
6/10/2019,6,10,2019,2019,9:00p,GSW,106,TOR,105,,"20,144",,2019,June,P,-1,1,U,216,Mon,TOR2019,19800,0,23
6/7/2019,6,7,2019,2019,9:00p,TOR,105,GSW,92,,"19,596",,2019,June,N,5,-5,U,214.5,Fri,GSW2019,18064,0,0
6/5/2019,6,5,2019,2019,9:00p,TOR,123,GSW,109,,"19,596",,2019,June,N,4,-4,O,212.5,Wed,GSW2019,18064,0,0
6/2/2019,6,2,2019,2019,8:00p,GSW,109,TOR,104,,"20,014",,2019,June,N,2.5,-2.5,O,212,Sun,TOR2019,19800,0,23
5/30/2019,5,30,2019,2019,9:00p,GSW,109,TOR,118,,"19,983",,2019,May,Y,2,-2,O,212.5,Thu,TOR2019,19800,0,23
5/25/2019,5,25,2019,2019,8:30p,MIL,94,TOR,100,,"20,478",,2019,May,Y,1.5,-1.5,U,214,Sat,TOR2019,19800,0,23
5/23/2019,5,23,2019,2019,8:30p,TOR,105,MIL,99,,"17,384",,2019,May,N,7.5,-7.5,U,215.5,Thu,MIL2019,17341,0,0
5/21/2019,5,21,2019,2019,8:30p,MIL,102,TOR,120,,"20,237",,2019,May,Y,-3,3,O,216.5,Tue,TOR2019,19800,0,23
5/20/2019,5,20,2019,2019,9:00p,GSW,119,POR,117,OT,"20,064",,2019,May,P,-2,2,O,219,Mon,POR2019,19393,0,23
5/19/2019,5,19,2019,2019,7:00p,MIL,112,TOR,118,2OT,"19,923",,2019,May,Y,2.5,-2.5,O,221.5,Sun,TOR2019,19800,0,23
5/18/2019,5,18,2019,2019,9:00p,GSW,110,POR,99,,"20,214",,2019,May,N,2.5,-2.5,U,221.5,Sat,POR2019,19393,0,23
5/17/2019,5,17,2019,2019,8:30p,TOR,103,MIL,125,,"17,570",,2019,May,Y,6.5,-6.5,O,219,Fri,MIL2019,17341,0,0
5/16/2019,5,16,2019,2019,9:00p,POR,111,GSW,114,,"19,596",,2019,May,N,7,-7,O,219.5,Thu,GSW2019,18064,0,0
5/15/2019,5,15,2019,2019,8:30p,TOR,100,MIL,108,,"17,345",,2019,May,Y,6.5,-6.5,U,218.5,Wed,MIL2019,17341,0,0
5/14/2019,5,14,2019,2019,9:00p,POR,94,GSW,116,,"19,596",,2019,May,Y,7.5,-7.5,U,220.5,Tue,GSW2019,18064,0,0
5/12/2019,5,12,2019,2019,7:00p,PHI,90,TOR,92,,"20,917",,2019,May,N,6,-6,U,209.5,Sun,TOR2019,19800,0,23
5/12/2019,5,12,2019,2019,3:30p,POR,100,DEN,96,,"19,725",,2019,May,N,5.5,-5.5,U,211,Sun,DEN2019,19520,0,19
5/9/2019,5,9,2019,2019,8:00p,TOR,101,PHI,112,,"20,525",,2019,May,Y,-1,1,O,211.5,Thu,PHI2019,20478,0,22
