Day of Week,Date,Datadate,Month,Day,Year,Time,Time2,RealDay,RealDate,Home Score,Away Score,First Half Home Score,Firtst Half Away Score,Second Half Home Score,Second Half Away Score,Home Team,Away Team,X1,X,X2,Payout,current_doc1,Attendance,Venue,Referee,Weather Station,Weather Station Code.x,Data Type.x,Data Date,day Time Zone.x,day Latitude.x,day Longitude.x,day Elevation.x,day High Temperature,day Low Temperature,day Average Temperature,day Warmest Heat Index,day Coldest Wind Chill Temperature,day High Dew Point,day Low Dew Point,day AVG Dew Point,day High Relative Humidity,day Low Relative Humidity,day AVG Humidity,day High Wet Bulb Temp,day Low Wet Bulb Temp,day AVG Wet Bulb Temp,day High Wind Speed,day AVG Wind Speed,day Wind Direction.x,day High Wind Gust,day Cloud Cover percent.x,day AVG Visability Miles,day Total Solar Irradiance Beam,day Total Solar Irradiance Diffuse,day Total Solar Irradiance Global,day Total Minutes of Sunshine,day Total Minutes of Sunshine of a cloud free day,day Observed Daily Water Equivalent,day Snowfall.x,day High Pressure Inches,day Low Pressure Inches,day AVG Pressure Inches,day Highest Pressure Millibars,day Low Pressure Millibars,day AVG Daily Pressure Millibars,day Two Digit Predominate Weather,day Weather Code,day Weather Text.x,hour Weather Station Code.y,hour Data Type.y,hour Time Zone.y,hour Latitude.y,hour Longitude.y,hour Elevation.y,hour Temperature.x,hour Feels Like.x,hour Dew Point.x,hour Relative Humidity.x,hour Wet Bulb Temp.x,hour Wind Direction.y,hour Wind Speed.x,hour Cloud Cover percent.y,hour Cloud Ceiling.x,hour Cloud Cover Type.x,hour Visibility.x,hour Solar Irradiance Beam.x,hour Solar Irradiance Diffuse.x,hour Solar Irradiance Global.x,hour Solar Irradiance Possible Beam.x,hour Solar Irradiance Possible Global.x,hour Solar Irradiance ET.x,hour Probability of Precipitation.x,hour Water EQ.x,hour Snowfall.y,hour Pressure Inches.x,hour Pressure Millibars.x,hour Weather Code Digit Numeric.x,hour Weather Code Alpha Numeric.x,hour Weather Text.y,,Data Date_2.x,Weather Station Code,Data Type,Time Zone,Latitude,Longitude,Elevation,Hourminusfour Temperature.y,Hourminusfour Feels Like.y,Hourminusfour Dew Point.y,Hourminusfour Relative Humidity.y,Hourminusfour Wet Bulb Temp.y,Hourminusfour Wind Direction,Hourminusfour Wind Speed.y,Hourminusfour Cloud Cover percent,Hourminusfour Cloud Ceiling.y,Hourminusfour Cloud Cover Type.y,Hourminusfour Visibility.y,Hourminusfour Solar Irradiance Beam.y,Hourminusfour Solar Irradiance Diffuse.y,Hourminusfour Solar Irradiance Global.y,Hourminusfour Solar Irradiance Possible Beam.y,Hourminusfour Solar Irradiance Possible Global.y,Hourminusfour Solar Irradiance ET.y,Hourminusfour Probability of Precipitation.y,Hourminusfour Water EQ.y,Hourminusfour Snowfall,Hourminusfour Pressure Inches.y,Hourminusfour Pressure Millibars.y,Hourminusfour Weather Code Digit Numeric.y,Hourminusfour Weather Code Alpha Numeric.y,Hourminusfour Weather Text
Saturday,6/1/19,1-Jun-19,6,1,2019,21,21,1,6/1/19,0,3,0,3,0,0,Montreal, Orlando City,102,260,262,-,"Saturday, 01 Jun 2019, 21:00",17018,Saputo Stadium,Chris Penso,CYHU,CYHU,O,1-Jun-19,EST,45.517,-73.417,89,67,44,58,66,44,52,39,45,87,40,64,55,43,51,10,5,114,10,88,9.1,4400,790,5191,71,928,0.04,0,29.88,29.69,29.8,1012.1,1005.5,1009.3,40,MC,Overcast,CYHU,O,EST,45.517,-73.417,89,61,61,48,63,54,90,3,100,70,OVC,9,0,0,0,0,0,0,0,0,0,29.73,1007,40,MC,Overcast,1-Jun-19,21,CYHU,O,EST,45.517,-73.417,89,61,61,48,63,54,90,3,100,70,OVC,9,0,0,0,0,0,0,0,0,0,29.73,1007,40,MC,Overcast
Saturday,9/1/18,1-Sep-18,9,1,2018,23,23,1,9/1/18,3,0,2,0,1,0,Montreal, NY Red Bulls,175,258,162,97.70%,"Saturday, 01 Sep 2018, 23:30",18458,Saputo Stadium,Jair Marrufo,CYHU,CYHU,O,1-Sep-18,EST,45.517,-73.417,89,82,66,73,85,66,66,63,64,94,58,76,72,64,67,16,11,174,22,66,9,4100,569,4670,337,794,0.05,0,30.23,30.11,30.18,1024,1019.8,1022.3,46,CLR,Fair,CYHU,O,EST,45.517,-73.417,89,70,70,64,83,66,190,10,100,55,BKN,9,0,0,0,0,0,0,0,0,0,30.13,1020.6,42,MC,Mostly Cloudy,1-Sep-18,23,CYHU,O,EST,45.517,-73.417,89,70,70,64,83,66,190,10,100,55,BKN,9,0,0,0,0,0,0,0,0,0,30.13,1020.6,42,MC,Mostly Cloudy
Saturday,8/4/18,4-Aug-18,8,4,2018,23,23,4,8/4/18,1,1,1,0,0,1,Montreal, D.C. United,120,258,246,97.80%,"Saturday, 04 Aug 2018, 23:30",19152,Saputo Stadium,Ismail Elfath,CYHU,CYHU,O,4-Aug-18,EST,45.517,-73.417,89,81,66,73,83,68,72,66,68,100,62,86,74,67,70,14,5,176,22,75,7.2,3877,715,4592,183,875,0.09,0,30.09,30.03,30.06,1019,1017.1,1017.9,46,CLR,Fair,CYHU,O,EST,45.517,-73.417,89,68,68,66,94,67,130,5,49,67,CLR,9,0,0,0,0,0,0,0,0,0,30.05,1017.8,46,CLR,Fair,4-Aug-18,23,CYHU,O,EST,45.517,-73.417,89,68,68,66,94,67,130,5,49,67,CLR,9,0,0,0,0,0,0,0,0,0,30.05,1017.8,46,CLR,Fair
Saturday,5/4/19,4-May-19,5,4,2019,21,21,4,5/4/19,0,2,0,1,0,1,Montreal, NYCFC,125,246,217,95.50%,"Saturday, 04 May 2019, 21:00",16961,Saputo Stadium,Baldomero Toledo,CYHU,CYHU,O,4-May-19,EST,45.517,-73.417,89,61,46,53,61,44,46,34,41,100,39,69,50,44,47,8,5,347,8,71,8.6,4872,695,5566,386,868,0.05,0,30,29.87,29.93,1016.1,1011.7,1013.8,46,CLR,Fair,CYHU,O,EST,45.517,-73.417,89,52,50,39,62,46,220,6,64,210,CLR,9,0,0,0,0,0,0,0,0,0,29.9,1012.6,46,CLR,Fair,4-May-19,21,CYHU,O,EST,45.517,-73.417,89,52,50,39,62,46,220,6,64,210,CLR,9,0,0,0,0,0,0,0,0,0,29.9,1012.6,46,CLR,Fair
Wednesday,6/5/19,5-Jun-19,6,5,2019,23,23,5,6/5/19,2,1,0,0,2,1,Montreal, Seattle,114,231,256,95.50%,"Wednesday, 05 Jun 2019, 23:30",13037,Saputo Stadium,Nima Saghafi,CYHU,CYHU,O,5-Jun-19,EST,45.517,-73.417,89,67,48,57,66,45,52,45,49,94,52,74,56,46,53,15,6,212,18,82,9.1,5966,799,6766,262,933,0.04,0,29.84,29.7,29.78,1010.8,1006.1,1008.6,40,MC,Overcast,CYHU,O,EST,45.517,-73.417,89,59,59,52,77,55,10,2,100,60,OVC,9,0,0,0,0,0,0,0,0,0,29.72,1006.5,40,MC,Overcast,5-Jun-19,23,CYHU,O,EST,45.517,-73.417,89,59,59,52,77,55,10,2,100,60,OVC,9,0,0,0,0,0,0,0,0,0,29.72,1006.5,40,MC,Overcast
Saturday,7/6/19,6-Jul-19,7,6,2019,23,23,6,7/6/19,2,3,2,2,0,1,Montreal, Minnesota,100,256,276,95.50%,"Saturday, 06 Jul 2019, 23:30",16796,Saputo Stadium,Alan Kelly,CYHU,CYHU,O,6-Jul-19,EST,45.517,-73.417,89,83,63,76,87,66,75,46,64,94,41,71,77,56,69,17,11,325,24,42,9.1,5357,803,6160,449,932,0.08,0,29.95,29.8,29.85,1014.5,1009.3,1010.9,46,CLR,Fair,CYHU,O,EST,45.517,-73.417,89,66,66,46,49,56,360,13,10,189,CLR,9,0,0,0,0,0,0,0,0,0,29.95,1014.3,46,CLR,Fair,6-Jul-19,23,CYHU,O,EST,45.517,-73.417,89,66,66,46,49,56,360,13,10,189,CLR,9,0,0,0,0,0,0,0,0,0,29.95,1014.3,46,CLR,Fair
Saturday,10/6/18,6-Oct-18,10,6,2018,19,19,6,10/6/18,3,0,2,0,1,0,Montreal, Columbus,140,246,191,95.30%,"Saturday, 06 Oct 2018, 19:00",19015,Saputo Stadium,Alan Kelly,CYHU,CYHU,O,6-Oct-18,EST,45.517,-73.417,89,54,40,47,54,35,48,32,40,100,54,76,49,37,44,10,6,32,10,99,8,1859,362,2226,18,685,0.04,0,30.23,30,30.11,1023.9,1016.2,1019.9,40,MC,Overcast,CYHU,O,EST,45.517,-73.417,89,50,50,48,94,49,10,3,100,15,OVC,9,0,0,0,0,0,0,0,0,0,30,1016.2,40,MC,Overcast,6-Oct-18,19,CYHU,O,EST,45.517,-73.417,89,50,50,48,94,49,10,3,100,15,OVC,9,0,0,0,0,0,0,0,0,0,30,1016.2,40,MC,Overcast
Sunday,10/6/19,6-Oct-19,10,6,2019,20,20,6,10/6/19,3,0,2,0,1,0,Montreal, NY Red Bulls,200,288,119,95.40%,"Sunday, 06 Oct 2019, 20:00",15022,Saputo Stadium,Nima Saghafi,CYHU,CYHU,O,6-Oct-19,EST,45.517,-73.417,89,59,36,53,59,33,57,34,47,94,67,81,58,36,49,18,11,175,24,91,9,1546,362,1910,0,685,0.09,0,30.25,30,30.09,1024.6,1016,1019.1,40,MC,Overcast,CYHU,O,EST,45.517,-73.417,89,59,56,55,88,57,170,13,100,90,OVC,9,0,0,0,0,0,0,99,0.01,0,30,1016.2,18,RAIN,Light Rain,6-Oct-19,20,CYHU,O,EST,45.517,-73.417,89,59,56,55,88,57,170,13,100,90,OVC,9,0,0,0,0,0,0,99,0.01,0,30,1016.2,18,RAIN,Light Rain
Saturday,4/13/19,13-Apr-19,4,13,2019,17,17,13,4/13/19,1,0,0,0,1,0,Montreal, Columbus,131,236,217,95.60%,"Saturday, 13 Apr 2019, 17:00",18634,Saputo Stadium,Armando Villarreal,CYHU,CYHU,O,13-Apr-19,EST,45.517,-73.417,89,63,43,54,63,40,50,25,38,94,34,59,52,37,47,31,17,241,46,43,9.1,5473,586,6059,598,807,0.01,0,30.01,29.83,29.9,1016.4,1010.2,1012.6,46,CLR,Fair,CYHU,O,EST,45.517,-73.417,89,59,54,30,34,46,240,28,4,207,CLR,9,164,17,181,167,184,239,0,0,0,29.87,1011.7,46,CLR,Fair,13-Apr-19,17,CYHU,O,EST,45.517,-73.417,89,59,54,30,34,46,240,28,4,207,CLR,9,164,17,181,167,184,239,0,0,0,29.87,1011.7,46,CLR,Fair
Saturday,7/13/19,13-Jul-19,7,13,2019,23,23,13,7/13/19,0,2,0,0,0,2,Montreal, Toronto FC,156,256,162,95.10%,"Saturday, 13 Jul 2019, 23:30",19619,Saputo Stadium,Drew Fischer,CYHU,CYHU,O,13-Jul-19,EST,45.517,-73.417,89,81,62,71,83,62,68,59,63,100,51,78,72,60,66,18,11,240,29,46,8.7,6479,788,7268,433,922,0.06,0,29.86,29.77,29.81,1011.3,1008.2,1009.7,46,CLR,Fair,CYHU,O,EST,45.517,-73.417,89,64,64,64,100,64,220,5,5,180,FEW,9,0,0,0,0,0,0,0,0,0,29.81,1009.6,45,CLR,Mostly Clear,13-Jul-19,23,CYHU,O,EST,45.517,-73.417,89,64,64,64,100,64,220,5,5,180,FEW,9,0,0,0,0,0,0,0,0,0,29.81,1009.6,45,CLR,Mostly Clear
