Key2,﻿Keyno,FullDate,Month,Day,Year,DateDate,Season,Start (ET),Hour,Visitor/Neutral,Visitor Pts,Home/Neutral,Home Pts,OT,NumberOT,Attendance,Notes,MonthW,Covered Line,Away ATS,Home ATS,CoveredO/U,O/U,DateWeek,Keyyr,Capacity,New Stadium Season,Years in Stadium,City Played,Weather Station,WKey,DayAVGTemp,DayHighTemp,DayAVGHumid,DayHighHumid,DayAVGWind,DayHighWind,DayAVGCloud,DayAVGVisibility,DayAVGSunMin,DayPrecipWaterEQ,DayPrecipSnow,DayAVGWeatherLetterCode,DayAVGWeatherType,Hour Weather Station Code,Hour Data Type,Hour Time Zone,Hour Latitude,Hour Longitude,Hour Elevation,Hour Temperature,Hour Feels Like,Hour Dew Point,Hour Relative Humidity,Hour Wet Bulb Temp,Hour Wind Direction,Hour Wind Speed,Hour Cloud Cover percent,Hour Cloud Ceiling,Hour Cloud Cover Type,Hour Visibility,Hour Solar Irradiance Beam,Hour Solar Irradiance Diffuse,Hour Solar Irradiance Global,Hour Solar Irradiance Possible Beam,Hour Solar Irradiance Possible Global,Hour Solar Irradiance ET,Hour Probability of Precipitation,Hour Water EQ,Hour Snowfall,Hour Pressure Inches,Hour Pressure Millibars,Hour Weather Code Digit Numeric,Hour Weather Code Alpha Numeric,Hour Weather Text,Hour Data Date_1,Hour Data Date_2
CYQG 10/Apr/2015 20,DET42104,4/10/2015,4,10,2015,10-Apr-15,2015,7:30p,20,IND,107,DET,103,0,0,"18,561",,Apr,Y,-5.5,5.5,O,192.5,Fri,DET2015,22076,0,26,Detroit,CYQG,CYQG42104,53,63,69,88,21,33,71,13.9,357,0.13,0,MC,Overcast,CYQG,O,EST,42.276,-82.956,623,46,39,41,82,44,310,20,100,34,OVC,5,0,0,0,0,0,0,99,0.13,0,29.91,1013.1,18,RAIN,Light Rain,10-Apr-15,20
CYQG 10/Apr/2017 20,DET42835,4/10/2017,4,10,2017,10-Apr-17,2017,8:00p,20,WAS,105,DET,101,0,0,"21,012",,Apr,N,5.5,-5.5,U,208,Mon,DET2017,22076,0,28,Detroit,CYQG,CYQG42835,64,77,60,83,17,26,96,13.1,40,0,0,PC,High Clouds,CYQG,O,EST,42.276,-82.956,623,64,63,57,78,60,200,13,100,190,OVC,10,0,0,0,0,0,0,0,0,0,29.93,1013.5,40,MC,Overcast,10-Apr-17,20
CYQG 10/Dec/2013 20,DET41618,12/10/2013,12,10,2013,10-Dec-13,2014,7:30p,20,MIN,121,DET,94,0,0,"11,251",,Dec,N,-1,1,O,205.5,Tue,DET2014,22076,0,25,Detroit,CYQG,CYQG41618,19,24,60,68,15,26,61,13,232,0,0,MC,Mostly Cloudy,CYQG,O,EST,42.276,-82.956,623,21,7,9,60,18,250,17,8,38,FEW,12,0,0,0,0,0,0,0,0,0,30.09,1020.1,44,PC,Partly Cloudy,10-Dec-13,20
CYQG 10/Dec/2017 16,DET43079,12/10/2017,12,10,2017,10-Dec-17,2018,4:00p,16,BOS,91,DET,81,0,0,"18,776",,Dec,N,-1,1,U,202,Sun,DET2018,20332,0,0,Detroit,CYQG,CYQG43079,26,29,75,86,14,21,96,11.3,0,0.15,1.1,SNOW,Light Snow,CYQG,O,EST,42.276,-82.956,623,27,15,18,69,24,250,15,100,54,OVC,12,26,5,32,53,58,75,0,0,0,29.89,1013.3,40,MC,Overcast,10-Dec-17,16
CYQG 10/Feb/2014 20,DET41680,2/10/2014,2,10,2014,10-Feb-14,2014,7:30p,20,SAS,100,DET,109,0,0,"13,628",,Feb,Y,-3,3,O,206.5,Mon,DET2014,22076,0,25,Detroit,CYQG,CYQG41680,17,21,73,92,9,15,60,11.7,371,0,0,MC,Mostly Cloudy,CYQG,O,EST,42.276,-82.956,623,19,19,9,63,17,350,2,100,43,OVC,12,0,0,0,0,0,0,0,0,0,30.32,1027.9,40,MC,Overcast,10-Feb-14,20
CYQG 10/Feb/2016 20,DET42410,2/10/2016,2,10,2016,10-Feb-16,2016,7:30p,20,DEN,103,DET,92,0,0,"19,971",,Feb,N,5,-5,U,207.5,Wed,DET2016,22076,0,27,Detroit,CYQG,CYQG42410,20,25,72,86,15,21,78,10.1,122,0.01,0.1,SNOW,Light Snow,CYQG,O,EST,42.276,-82.956,623,16,0,12,86,15,310,17,100,18,OVC,5,0,0,0,0,0,0,0,0,0,29.94,1015,8,SHWR,Snow Showers,10-Feb-16,20
CYQG 10/Feb/2017 20,DET42776,2/10/2017,2,10,2017,10-Feb-17,2017,7:30p,20,SAS,103,DET,92,0,0,"17,222",,Feb,N,-4.5,4.5,U,209,Fri,DET2017,22076,0,28,Detroit,CYQG,CYQG42776,25,41,69,80,14,24,90,12.7,8,0.06,0.8,MC,Overcast,CYQG,O,EST,42.276,-82.956,623,32,21,23,69,29,210,16,70,110,BKN,15,0,0,0,0,0,0,0,0,0,29.75,1008.5,42,MC,Mostly Cloudy,10-Feb-17,20
CYQG 10/Jan/2015 20,DET42014,1/10/2015,1,10,2015,10-Jan-15,2015,7:30p,20,BKN,93,DET,98,0,0,"19,301",,Jan,N,5.5,-5.5,U,194.5,Sat,DET2015,22076,0,26,Detroit,CYQG,CYQG42014,7,18,69,78,16,21,58,14.8,255,0.01,0,MC,Mostly Cloudy,CYQG,O,EST,42.276,-82.956,623,12,-5,3,67,10,220,17,100,96,OVC,15,0,0,0,0,0,0,0,0,0,30.41,1031.5,40,MC,Overcast,10-Jan-15,20
CYQG 10/Nov/2017 19,DET43049,11/10/2017,11,10,2017,10-Nov-17,2018,7:00p,19,ATL,104,DET,111,0,0,"16,687",,Nov,N,7.5,-7.5,O,209,Fri,DET2018,20332,0,0,Detroit,CYQG,CYQG43049,24,35,54,80,10,16,46,14.7,376,0,0,CLR,Mostly Clear,CYQG,O,EST,42.276,-82.956,623,25,15,12,59,21,60,10,100,38,SCT,15,0,0,0,0,0,0,0,0,0,30.61,1037.7,40,MC,Overcast,10-Nov-17,19
CYQG 11/Dec/2016 18,DET42715,12/11/2016,12,11,2016,11-Dec-16,2017,6:00p,18,PHI,97,DET,79,0,0,"7,244",,Dec,N,12,-12,U,198,Sun,DET2017,22076,0,28,Detroit,CYQG,CYQG42715,28,32,93,100,11,17,100,2.1,0,0.19,3.5,SNOW,Light Snow,CYQG,O,EST,42.276,-82.956,623,30,19,28,93,29,190,16,100,7,OVC,0.8,0,0,0,0,0,0,0,0,0,29.92,1014.2,9,SNOW,Light Snow,11-Dec-16,18
