Key2,ï»¿Keyno,FullDate,Month,Day,Year,DateDate,Season,Start (ET),Hour,Visitor/Neutral,Visitor Pts,Home/Neutral,Home Pts,OT,NumberOT,Attendance,Notes,MonthW,Covered Line,Away ATS,Home ATS,CoveredO/U,O/U,DateWeek,Keyyr,Capacity,New Stadium Season,Years in Stadium,City Played,Weather Station,WKey,Weather Station Code,Data Type,Time Zone,Hourly_Latitude,Hourly_Longitude,Hourly_Elevation,Hourly_Temperature,Hourly_Feels Like,Hourly_Dew Point,Hourly_Relative Humidity,Hourly_Wet Bulb Temp,Hourly_Wind Direction,Hourly_Wind Speed,Hourly_Cloud Cover percent,Hourly_Cloud Ceiling,Hourly_Cloud Cover Type,Hourly_Visibility,Hourly_Solar Irradiance Beam,Hourly_Solar Irradiance Diffuse,Hourly_Solar Irradiance Global,Hourly_Solar Irradiance Possible Beam,Hourly_Solar Irradiance Possible Global,Hourly_Solar Irradiance ET,Hourly_Probability of Precipitation,Hourly_Water EQ,Hourly_Snowfall,Hourly_Pressure Inches,Hourly_Pressure Millibars,Hourly_Weather Code Digit Numeric,Hourly_Weather Code Alpha Numeric,Hourly_Weather Text,Daily_HIGHEST TEMPERATURE °F,Daily_LOWEST TEMPERATURE °F,Daily_AVERAGE DAILY TEMPERATURE (All Hours) °F,Daily_WARMEST HEAT INDEX °F,Daily_COLDEST WIND CHILL TEMPERATURE °F,Daily_HIGHEST DEW POINT TEMPERATURE °F,Daily_LOWEST DEW POINT TEMPERATURE °F,Daily_AVERAGE DAILY DEW POINT TEMPERATURE (All Hours) °F,Daily_HIGHEST RELATIVE HUMIDITY (Percent; %),Daily_LOWEST RELATIVE HUMIDITY (Percent; %),"Daily_AVERAGE DAILY RELATIVE HUMIDITY (All Hours, Percent; %)",Daily_HIGHEST WET BULB TEMPERATURE °F,Daily_LOWEST WET BULB TEMPERATURE °F,Daily_AVERAGE DAILY WET BULB TEMPERATURE (All Hours) °F,Daily_HIGHEST SUSTAINED SPEED (M.P.H.),"Daily_AVERAGE DAILY WIND SPEED (All Hours, M.P.H.)","Daily_PREDOMINATE WIND DIRECTION (Degrees, True)",Daily_HIGHEST WIND GUST (M.P.H.),"Daily_AVERAGE DAILY CLOUD COVER (All Hours, Percent; %)","Daily_AVERAGE VISIBILITY (All Hours, Miles)","Daily_TOTAL SOLAR IRRADIANCE (Beam Horizontal, W/M2)","Daily_TOTAL SOLAR IRRADIANCE (Diffuse, W/M2)","Daily_TOTAL SOLAR IRRADIANCE (Global Horizontal, W/M2)",Daily_TOTAL MINUTES of SUNSHINE (WBI Calculated),Daily_TOTAL MINUTES of SUNSHINE POSSIBLE (on Cloud-free Day),Daily_OBSERVED TOTAL DAILY WATER EQUIVALENT AWXCLIMO (Inches),Daily_SNOWFALL (WBI FINAL AWXCLIMO; Inches),"Daily_HIGHEST PRESSURE (All Hours, Inches)","Daily_LOWEST PRESSURE (All Hours, Inches)","Daily_AVERAGE DAILY PRESSURE (All Hours, Inches)","Daily_HIGHEST PRESSURE (All Hours, Millibars, if reported)","Daily_LOWEST PRESSURE (All Hours, Millibars, if reported)","Daily_AVERAGE DAILY PRESSURE (All Hours, Millibars, if reported)",Daily_WBI 2-DIGIT PREDOMINATE WEATHER (All Hours),Daily_WBI 2-4 LETTER CODE (All Hours),Daily_PREDOMINATE WEATHER TEXT (All Hours)
CYQG 10/Apr/2015 20,DET42104,4/10/2015,4,10,2015,10-Apr-15,2015,7:30p,20,IND,107,DET,103,0,0,"18,561",,Apr,Y,-5.5,5.5,O,192.5,Fri,DET2015,22076,0,26,Detroit,CYQG,CYQG42104,CYQG,O,EST,42.276,-82.956,623,46,39,41,82,44,310,20,100,34,OVC,5,0,0,0,0,0,0,99,0.13,0,29.91,1013.1,18,RAIN,Light Rain,63,43,53,63,38,59,34,42,88,41,69,60,42,49,33,21,257,48,71,13.9,4532,598,5130,357,790,0.13,0,30.03,29.46,29.72,1017.3,997.5,1006.5,40,MC,Overcast
CYQG 10/Apr/2017 20,DET42835,4/10/2017,4,10,2017,10-Apr-17,2017,8:00p,20,WAS,105,DET,101,0,0,"21,012",,Apr,N,5.5,-5.5,U,208,Mon,DET2017,22076,0,28,Detroit,CYQG,CYQG42835,CYQG,O,EST,42.276,-82.956,623,64,63,57,78,60,200,13,100,190,OVC,10,0,0,0,0,0,0,0,0,0,29.93,1013.5,40,MC,Overcast,77,57,64,77,54,59,40,50,83,48,60,64,50,56,26,17,215,38,96,13.1,3554,598,4152,40,790,0,0,29.99,29.82,29.89,1015.6,1009.7,1012.1,52,PC,High Clouds
CYQG 10/Dec/2013 20,DET41618,12/10/2013,12,10,2013,10-Dec-13,2014,7:30p,20,MIN,121,DET,94,0,0,"11,251",,Dec,N,-1,1,O,205.5,Tue,DET2014,22076,0,25,Detroit,CYQG,CYQG41618,CYQG,O,EST,42.276,-82.956,623,21,7,9,60,18,250,17,8,38,FEW,12,0,0,0,0,0,0,0,0,0,30.09,1020.1,44,PC,Partly Cloudy,24,15,19,23,0,11,1,8,68,44,60,19,13,17,26,15,253,32,61,13,1158,166,1324,232,549,0,0,30.18,29.95,30.07,1023,1015.2,1019.2,42,MC,Mostly Cloudy
CYQG 10/Dec/2017 16,DET43079,12/10/2017,12,10,2017,10-Dec-17,2018,4:00p,16,BOS,91,DET,81,0,0,"18,776",,Dec,N,-1,1,U,202,Sun,DET2018,20332,0,0,Detroit,CYQG,CYQG43079,CYQG,O,EST,42.276,-82.956,623,27,15,18,69,24,250,15,100,54,OVC,12,26,5,32,53,58,75,0,0,0,29.89,1013.3,40,MC,Overcast,29,25,26,28,10,23,16,20,86,69,75,27,22,24,21,14,252,29,96,11.3,734,166,902,0,549,0.15,1.1,29.97,29.88,29.92,1016,1012.8,1014.4,9,SNOW,Light Snow
CYQG 10/Feb/2014 20,DET41680,2/10/2014,2,10,2014,10-Feb-14,2014,7:30p,20,SAS,100,DET,109,0,0,"13,628",,Feb,Y,-3,3,O,206.5,Mon,DET2014,22076,0,25,Detroit,CYQG,CYQG41680,CYQG,O,EST,42.276,-82.956,623,19,19,9,63,17,350,2,100,43,OVC,12,0,0,0,0,0,0,0,0,0,30.32,1027.9,40,MC,Overcast,21,11,17,21,-1,12,5,9,92,58,73,17,10,15,15,9,295,15,60,11.7,2303,276,2579,371,622,0,0,30.35,30.15,30.26,1029.2,1022.2,1025.8,42,MC,Mostly Cloudy
CYQG 10/Feb/2016 20,DET42410,2/10/2016,2,10,2016,10-Feb-16,2016,7:30p,20,DEN,103,DET,92,0,0,"19,971",,Feb,N,5,-5,U,207.5,Wed,DET2016,22076,0,27,Detroit,CYQG,CYQG42410,CYQG,O,EST,42.276,-82.956,623,16,0,12,86,15,310,17,100,18,OVC,5,0,0,0,0,0,0,0,0,0,29.94,1015,8,SHWR,Snow Showers,25,12,20,25,0,21,3,11,86,53,72,24,12,18,21,15,299,28,78,10.1,1520,276,1794,122,622,0.01,0.1,30.01,29.7,29.83,1017.6,1006.5,1011.2,9,SNOW,Light Snow
CYQG 10/Feb/2017 20,DET42776,2/10/2017,2,10,2017,10-Feb-17,2017,7:30p,20,SAS,103,DET,92,0,0,"17,222",,Feb,N,-4.5,4.5,U,209,Fri,DET2017,22076,0,28,Detroit,CYQG,CYQG42776,CYQG,O,EST,42.276,-82.956,623,32,21,23,69,29,210,16,70,110,BKN,15,0,0,0,0,0,0,0,0,0,29.75,1008.5,42,MC,Mostly Cloudy,41,16,25,32,2,27,9,16,80,55,69,29,14,22,24,14,203,30,90,12.7,1369,276,1645,8,622,0.06,0.8,30.29,29.7,30.02,1027.1,1006.9,1017.9,40,MC,Overcast
CYQG 10/Jan/2015 20,DET42014,1/10/2015,1,10,2015,10-Jan-15,2015,7:30p,20,BKN,93,DET,98,0,0,"19,301",,Jan,N,5.5,-5.5,U,194.5,Sat,DET2015,22076,0,26,Detroit,CYQG,CYQG42014,CYQG,O,EST,42.276,-82.956,623,12,-5,3,67,10,220,17,100,96,OVC,15,0,0,0,0,0,0,0,0,0,30.41,1031.5,40,MC,Overcast,18,0,7,16,-21,7,-6,-1,78,61,69,14,-1,5,21,16,225,26,58,14.8,1458,177,1635,255,559,0.01,0,30.45,30.33,30.39,1032.9,1028.5,1030.7,42,MC,Mostly Cloudy
CYQG 10/Mar/2019 12,DET43534,3/10/2019,3,10,2019,10-Mar-19,2019,12:00p,12,CHI,108,DET,131,0,0,"19,356",,Mar,Y,9,-9,O,214,Sun,DET2019,20332,0,1,Detroit,CYQG,CYQG43534,CYQG,O,EST,42.267,-82.967,623,39,28,32,75,36,240,29,100,23,OVC,9,312,62,374,625,687,893,0,0,0,29.73,1007.4,40,MC,Overcast,46,36,39,46,24,45,27,33,100,70,79,46,32,37,38,24,239,51,96,8.9,2093,419,2512,0,702,0.06,0,30.09,29.44,29.76,1019.6,997.5,1008.3,40,MC,Overcast
CYQG 10/Nov/2017 19,DET43049,11/10/2017,11,10,2017,10-Nov-17,2018,7:00p,19,ATL,104,DET,111,0,0,"16,687",,Nov,N,7.5,-7.5,O,209,Fri,DET2018,20332,0,0,Detroit,CYQG,CYQG43049,CYQG,O,EST,42.276,-82.956,623,25,15,12,59,21,60,10,100,38,SCT,15,0,0,0,0,0,0,0,0,0,30.61,1037.7,40,MC,Overcast,35,19,24,28,8,16,1,9,80,36,54,24,17,20,16,10,4,28,46,14.7,2131,235,2366,376,597,0,0,30.62,30.32,30.54,1038.2,1027.6,1035.2,45,CLR,Mostly Clear
