ID,FullDate,Date,Date2,Start(ET),Hour,Favorite,Underdog ATS,Underdog,Total,Covered O/U,O/U,Season,Week,Attendance,Home/Neutral,Home Line,Away Line,Visitor/Neutral,Home Pts,Visitor Pts, Home Covered,Capacity,New Stadium Season,Years in Stadium,Temperature,Dome,City Played,Weather Station,Key
MIN2019,23-Dec-19,23/Dec/2019,23-Dec-2019,1:00,13,MIN,-3,GB,33,U,47,2019,Week 16,67157,MIN,-3,3,CHI,10,23,Y,66860,0,3,29,0,Minnesota,KSTP,KSTP4382213
PHI2019,22-Dec-19,22/Dec/2019,22-Dec-2019,1:00,13,PHI,-3.5,DAL,26,O,60,2019,Week 16,69796,PHI,-3.5,3.5,DAL,17,9,Y,69796,0,16,63,0,Philadelphia,KPHL,KPHL4382113
DEN2019,22-Dec-19,22/Dec/2019,22-Dec-2019,1:00,13,DEN,-4.5,DET,44,O,59,2019,Week 16,74115,DEN,-4.5,4.5,DET,27,17,Y,76125,0,18,65,0,Colorado,KBJC,KBJC4382113
CHI2019,22-Dec-19,22/Dec/2019,22-Dec-2019,1:00,13,CHI,-1,KC,29,U,51,2019,Week 16,62213,CHI,-1,1,KC,3,26,Y,61500,0,48,70,0,Chicago,KMDW,KMDW4382113
CLE2019,22-Dec-19,22/Dec/2019,22-Dec-2019,1:00,13,CLE,-3,BAL,46,O,33,2019,Week 16,67431,CLE,-3,3,BAL,15,31,Y,67895,0,20,38,0,Cleveland,KBKL,KBKL4382113
MIA2019,22-Dec-19,22/Dec/2019,22-Dec-2019,1:00,13,MIA,-1.5,CIN,73,O,40,2019,Week 16,60968,MIA,-1.5,1.5,CIN,38,35,Y,64767,0,32,54,0,Florida,KFXE,KFXE4382113
TEN2019,22-Dec-19,22/Dec/2019,22-Dec-2019,1:00,13,NO,-3,TEN,66,O,44,2019,Week 16,66756,TEN,3,-3,NO,28,38,Y,69143,0,20,26,0,Nashville,KBNA,KBNA4382113
NYJ2019,22-Dec-19,22/Dec/2019,22-Dec-2019,1:00,13,PIT,-1.5,NYJ,26,O,52,2019,Week 16,78523,NYJ,1.5,-1.5,SEA,16,10,Y,82550,0,9,33,0,New York,KFRG,KFRG4382113
SEA2019,22-Dec-19,22/Dec/2019,22-Dec-2019,1:00,13,SEA,-12,ARI,40,O,41,2019,Week 16,69022,SEA,-12,12,DET,13,27,Y,68740,0,17,80,0,Seattle,KBFI,KBFI4382113
IND2019,22-Dec-19,22/Dec/2019,22-Dec-2019,1:00,13,IND,-6,CAR,44,O,60,2019,Week 16,61845,IND,-6,6,BAL,38,6,Y,67000,0,11,27,0,Indianapolis,KIND,KIND4382113
LAC2019,22-Dec-19,22/Dec/2019,22-Dec-2019,1:00,13,LAC,-9,OAK,41,O,59,2019,Week 16,25380,LAC,-9,9,ARI,17,24,N,30000,0,2,31,0,Los Angeles,KCQT,KCQT4382113
WAS2019,22-Dec-19,22/Dec/2019,22-Dec-2019,1:00,13,WAS,-3,NYG,76,O,51,2019,Week 16,66083,WAS,-3,3,DAL,35,41,Y,82000,0,22,60,0,Washington,KDCA,KDCA4382113
