Key,ID,FullDate,Start(ET),Favorite,Underdog ATS,Underdog,Total,Covered O/U,O/U,Season,Week,Attendance,Home/Neutral,Home Line,Away Line,Visitor/Neutral,Home Pts,Visitor Pts, Home Covered,Capacity,New Stadium Season,Years in Stadium,Key,Weather Temperature,Dome,
20121230KCDEN,DEN2012,12/30/12,4:25,DEN,-17,KC,41,P,41,2012,Week 17,76502,DEN,-17,17,KC,38,3,Y,76125,0,11,20121230KCDEN,35,0,
20081215CLEPHI,PHI2008,12/15/08,8:35,PHI,-15.5,CLE,40,P,40,2008,Week 15,69144,PHI,-15.5,15.5,CLE,30,10,Y,69796,0,5,20081215CLEPHI,52,0,
201112CARATL,ATL2010,1/2/11,1:00,ATL,-14.5,CAR,41,P,41,2010,Week 17,67349,ATL,-14.5,14.5,CAR,31,10,Y,71228,0,18,201112CARATL,43,0,Week 17ATL2010
20081207CLETEN,TEN2008,12/7/08,1:00,TEN,-14,CLE,37,P,37,2008,Week 14,69143,TEN,-14,14,CLE,28,9,Y,69143,0,9,20081207CLETEN,31,0,
20061119TENPHI,PHI2006,11/19/06,1:00,PHI,-13,TEN,44,P,44,2006,Week 11,69232,PHI,-13,13,TEN,13,31,Y,69796,0,3,20061119TENPHI,45,0,
20060917OAKBAL,BAL2006,9/17/06,1:00,BAL,-13,OAK,34,P,34,2006,Week 2,70744,BAL,-13,13,OAK,28,6,Y,70107,0,8,20060917OAKBAL,70,0,
20191010NYGNE,NEP2019,10/10/19,,NE,-11,NYG,49,P,49,2019,Week 6,65878,NE,-11,11,NYG,35,14,Y,65878,0,17,20191010NYGNE,58,0,Week 6NE2019
20070916NYJBAL,BAL2007,9/16/07,4:15,BAL,-9.5,NYJ,33,P,33,2007,Week 2,71246,BAL,-9.5,9.5,NYJ,20,13,N,71008,0,9,20070916NYJBAL,58,0,
20081204OAKLAC,LAC2008,12/4/08,8:15,LAC,-9.5,OAK,41,P,41,2008,Week 14,68097,LAC,-9.5,9.5,OAK,34,7,Y,70561,0,41,20081204OAKLAC,61,0,
20181223CINCLE,CLE2018,12/23/18,1:00,CLE,-9.5,CIN,44,P,44,2018,Week 16,67431,CLE,-9.5,9.5,CIN,26,18,N,67895,0,19,20181223CINCLE,27,0,Week 16CLE2018
20181028DENKC,KCC2018,10/28/18,1:00,KC,-9,DEN,53,P,53,2018,Week 8,77103,KC,-9,9,DEN,30,23,N,76416,0,46,20181028DENKC,50,0,Week 8KC2018
20160911NEARI,ARI2016,9/11/16,8:30,ARI,-8.5,NE,44,P,44,2016,Week 1,64864,ARI,-8.5,8.5,NE,21,23,N,63400,0,10,20160911NEARI,72,DOME,
20120916DETSF,SFN2012,9/16/12,8:25,SF,-7,DET,46,P,46,2012,Week 2,69732,SF,-7,7,DET,27,19,Y,69732,0,41,20120916DETSF,62,0,
20061207CLEPIT,PIT2006,12/7/06,8:00,PIT,-7,CLE,34,P,34,2006,Week 14,55246,PIT,-7,7,CLE,27,7,Y,64450,0,5,20061207CLEPIT,34,0,
20060917WASDAL,DAL2006,9/17/06,8:15,DAL,-7,WAS,37,P,37,2006,Week 2,63152,DAL,-7,7,WAS,27,10,Y,65529,0,35,20060917WASDAL,83,0,
20131020BUFMIA,MIA2013,10/20/13,1:00,MIA,-6,BUF,44,P,44,2013,Week 7,60592,MIA,-6,6,BUF,21,23,N,75540,0,26,20131020BUFMIA,87,0,
20111218CLEARI,ARI2011,12/18/11,4:15,ARI,-6,CLE,37,P,37,2011,Week 15,60443,ARI,-6,6,CLE,20,17,N,63400,0,5,20111218CLEARI,72,DOME,
20171210CHICIN,CIN2017,12/10/17,1:00,CIN,-6,CHI,40,P,40,2017,Week 14,52002,CIN,-6,6,CHI,7,33,Y,65515,0,17,20171210CHICIN,40,0,Week 14CIN2017
20170917PHIKC,KCC2017,9/17/17,1:00,KC,-4.5,PHI,47,P,47,2017,Week 2,74971,KC,-4.5,4.5,PHI,27,20,Y,76416,0,45,20170917PHIKC,25,0,Week 2KC2017
20061029ARIGB,GBP2006,10/29/06,1:00,GB,-4,ARI,45,P,45,2006,Week 8,70809,GB,-4,4,ARI,31,14,Y,72922,0,49,20061029ARIGB,39,0,
