date information,vs,Score,Type,Line,O/U,Team,Game Outcome,Team Score,Opponent Score,Overtime,Spread Outcome,Spread Wins,Spread Losses,line*,O/U Outcome,Over Wins,Under Wins,Game O/U,Total Score,Game Margin,Day of Week,Date,Season,key,attendance
Sunday 11/19/17,@ L.A. Chargers,L 24-54,Week 11,"L
                  7","O
              41.5",Buffalo,L,24,54,0,L,0,1,7,O,1,0,41.5,78,-30,Sunday,11/19/17,2017,Week 11Buffalo2017,25015
Sunday 12/03/17,@ L.A. Chargers,L 10-19,Week 13,"W
                  13.5","U
              45",Cleveland,L,10,19,0,W,1,0,13.5,U,0,1,45,29,-9,Sunday,12/3/17,2017,Week 13Cleveland2017,25320
Sunday 12/09/18,@ L.A. Chargers,L 21-26,Week 14,"W
                  17","U
              48.5",Cincinnati,L,21,26,0,W,1,0,17,U,0,1,48.5,47,-5,Sunday,12/9/18,2018,Week 14Cincinnati2018,25358
Sunday 09/17/17,@ L.A. Chargers,W 19-17,Week 2,"W
                  3.5","U
              46",Miami,W,19,17,0,W,1,0,3.5,U,0,1,46,36,2,Sunday,9/17/17,2017,Week 2Miami2017,25381
Saturday 12/22/18,@ L.A. Chargers,W 22-10,Week 16,"W
                  4","U
              42.5",Baltimore,W,22,10,0,W,1,0,4,U,0,1,42.5,32,12,Saturday,12/22/18,2018,Week 16Baltimore2018,25571
Sunday 11/22/09,@ Oakland,L 17-20,Week 11,"L
                  -9","O
              36",Cincinnati,L,17,20,0,L,0,1,-9,O,1,0,36,37,-3,Sunday,11/22/09,2009,Week 11Cincinnati2009,34112
Sunday 01/03/10,@ Oakland,W 21-13,Week 17,"L
                  -10","U
              39",Baltimore,W,21,13,0,L,0,1,-10,U,0,1,39,34,8,Sunday,1/3/10,2009,Week 17Baltimore2009,38400
Sunday 12/20/09,Arizona,L 24-31,Week 15,"W
                  14","O
              46.5",Detroit,L,24,31,0,W,1,0,14,O,1,0,46.5,55,-7,Sunday,12/20/09,2009,Week 15Detroit2009,40577
Sunday 11/15/09,@ Oakland,W 16-10,Week 10,"W
                  1","U
              36.5",Kansas City,W,16,10,0,W,1,0,1,U,0,1,36.5,26,6,Sunday,11/15/09,2009,Week 10Kansas City2009,40720
Sunday 12/16/12,Seattle,L 17-50,Week 15,"L
                  4.5","O
              43.5",Buffalo,L,17,50,0,L,0,1,4.5,O,1,0,43.5,67,-33,Sunday,12/16/12,2012,Week 15Buffalo2012,40770
