ID,FullDate,Date,Start(ET),Hour,Favorite,Underdog ATS,Underdog,Total,Covered O/U,O/U,Season,Week,Attendance,Home/Neutral,Home Line,Away Line,Visitor/Neutral,Home Pts,Visitor Pts,Home Covered,Capacity,New Stadium Season,Years in Stadium,Temperature.x,Dome,City Played,Weather Station,Key.x,DayAVGTemp,DayHighTemp,DayAVGHumid,DayHighHumid,DayAVGWind,DayHighWind,DayAVGCloud,DayAVGVisibility,DayAVGSunMin,DayPrecipWaterEQ,DayPrecipSnow,DayAVGWeatherLetterCode,DayAVGWeatherType,Elevation,Hour Temperature,Hour Feels Like,Hour Dew Point,Hour Relative Humidity,Hour Wet Bulb Temp,Hour Wind Direction,Hour Wind Speed,Hour Cloud Cover percent,Hour Cloud Ceiling,Cloud Cover Type,Hour Visibility,Hour Solar Irradiance Beam,Hour Solar Irradiance Diffuse,Hour Solar Irradiance Global,Hour Solar Irradiance Possible Beam,Hour Solar Irradiance Possible Global,Hour Solar Irradiance ET,Hour Probability of Precipitation,Hour Water EQ,Hour Snowfall,Hour Pressure Inches,Hour Pressure Millibars,Hour Weather Code Digit Numeric,Hour Weather Code Alpha Numeric,Hour Weather Text
DET2016,1-Jan-17,1-Jan-17,8:25,20,GB,-3.5,DET,55,O,50.5,2016,Week 17,66345,DET,3.5,-3.5,GB,24,31,Y,65000,0,14,58,0,Detroit,CYQG,CYQG4273620,30,43,75,93,8,15,16,14.8,546,0,0,CLR,Fair,623,27,21,23,86,25,80,5,5,250,Hour FEW,15,0,0,0,0,0,0,0,0,0,30.22,1024.6,45,CLR,Mostly Clear
DET2015,3-Dec-15,3-Dec-15,8:25,20,GB,-2.5,DET,50,O,46.5,2015,Week 13,63207,DET,2.5,-2.5,GB,23,27,Y,65000,0,13,72,1,Detroit,CYQG,CYQG4234120,39,47,80,100,12,15,77,10.8,219,0.01,0,MC,Mostly Cloudy,623,41,35,32,70,37,250,10,100,34,OVC,15,0,0,0,0,0,0,0,0,0,30.3,1026.8,40,MC,Overcast
DET2014,5-Oct-14,5-Oct-14,1:00,13,DET,-5,BUF,31,U,43.5,2014,Week 5,62775,DET,-5,5,BUF,14,17,N,65000,0,12,72,1,Detroit,CYQG,CYQG4191713,49,54,66,87,13,21,90,15,47,0.01,0,MC,Mostly Cloudy,623,54,50,32,44,44,230,12,100,280,BKN,15,269,61,330,611,672,874,0,0,0,29.73,1006.9,42,MC,Mostly Cloudy
DET2014,7-Dec-14,7-Dec-14,1:00,13,DET,-10.5,TB,51,O,42,2014,Week 14,61489,DET,-10.5,10.5,TB,34,17,Y,65000,0,12,72,1,Detroit,CYQG,CYQG4198013,29,37,70,86,9,16,59,15,78,0,0,PC,High Overcast,623,34,26,21,60,29,80,9,100,270,OVC,15,225,32,257,322,354,460,0,0,0,30.66,1039,50,PC,High Overcast
DET2017,8-Oct-17,8-Oct-17,1:00,13,DET,-2,CAR,51,O,42,2017,Week 5,64288,DET,-2,2,CAR,24,27,Y,65000,0,15,46,0,Detroit,CYQG,CYQG4301613,65,76,78,88,9,18,69,13.6,281,0.02,0,MC,Mostly Cloudy,623,72,72,59,65,64,190,9,26,270,FEW,15,569,59,628,593,652,847,0,0,0,29.89,1012,45,CLR,Mostly Clear
DET2013,8-Sep-13,8-Sep-13,1:00,13,DET,-4,MIN,58,O,46.5,2013,Week 1,62461,DET,-4,4,MIN,34,24,Y,65000,0,11,72,1,Detroit,CYQG,CYQG4152513,67,73,71,87,11,21,78,12.9,205,0,0,PC,High Clouds,623,71,71,54,56,61,30,15,25,280,SCT,15,705,77,782,771,848,1102,0,0,0,30.1,1019.1,54,CLR,Few High Clouds
DET2014,8-Sep-14,8-Sep-14,7:10,19,DET,-6.5,NYG,49,O,46,2014,Week 1,64401,DET,-6.5,6.5,NYG,35,14,Y,65000,0,12,72,1,Detroit,CYQG,CYQG4189019,64,75,77,94,4,9,18,15,604,0,0,CLR,Mostly Clear,623,64,64,59,83,61,90,6,5,280,FEW,15,0,0,0,0,0,0,0,0,0,30.08,1018.8,45,CLR,Mostly Clear
DET2014,9-Nov-14,9-Nov-14,1:00,13,DET,-3,MIA,36,U,43,2014,Week 10,63179,DET,-3,3,MIA,20,16,Y,65000,0,12,72,1,Detroit,CYQG,CYQG4195213,40,45,72,87,10,17,96,15,37,0,0,MC,Overcast,623,43,36,34,71,39,200,14,100,250,OVC,15,177,41,218,411,452,587,0,0,0,29.85,1011.3,50,PC,High Overcast
DET2016,9-Oct-16,9-Oct-16,1:00,13,PHI,-3.5,DET,47,O,46,2016,Week 5,58047,DET,3.5,-3.5,PHI,24,23,N,65000,0,14,72,1,Detroit,CYQG,CYQG4265213,50,62,68,82,7,12,18,15,432,0,0,CLR,Fair,623,57,56,39,51,49,340,8,70,42,BKN,15,378,58,436,581,639,829,0,0,0,30.35,1028.3,42,MC,Mostly Cloudy
DET2017,10-Sep-17,10-Sep-17,1:00,13,ARI,-2,DET,58,O,48.5,2017,Week 1,60957,DET,2,-2,ARI,35,23,Y,65000,0,15,50,0,Detroit,CYQG,CYQG4298813,56,70,83,100,4,10,21,13.7,466,0,0,CLR,Fair,623,64,64,54,68,58,20,5,70,26,BKN,15,494,76,570,760,836,1086,0,0,0,30.46,1031.9,42,MC,Mostly Cloudy
