,Key2,Var.2,Date,Date2,Date3,roadteam,roadscore,hometeam,homescore,MLResult,ML,total,oddsadj,goalie,opp goalie,ATT,Fights,Weather Station,Weather Station Code.x,Data Type.x,Data Date,Time Zone.x,Daily Latitude.x,Daily Longitude.x,Daily Elevation.x,Daily High Temperature,Daily Low Temperature,Daily Average Temperature,Daily Warmest Heat Index,Daily Coldest Wind Chill Temperature,Daily High Dew Point,Daily Low Dew Point,Daily AVG Dew Point,Daily High Relative Humidity,Daily Low Relative Humidity,Daily AVG Humidity,Daily High Wet Bulb Temp,Daily Low Wet Bulb Temp,Daily AVG Wet Bulb Temp,Daily High Wind Speed,Daily AVG Wind Speed,Daily Wind Direction.x,Daily High Wind Gust,Daily Cloud Cover percent.x,Daily AVG Visability Miles,Daily Total Solar Irradiance Beam,Daily Total Solar Irradiance Diffuse,Daily Total Solar Irradiance Global,Daily Total Minutes of Sunshine,Daily Total Minutes of Sunshine of a cloud free day,Daily Observed Daily Water Equivalent,Daily Snowfall.x,Daily High Pressure Inches,Daily Low Pressure Inches,Daily AVG Pressure Inches,Daily Highest Pressure Millibars,Daily Low Pressure Millibars,Daily AVG Daily Pressure Millibars,Daily Two Digit Predominate Weather,Daily Weather Code,Daily Weather Text.x,Weather Station Code.y,Data Type.y,Time Zone.y,Hour Latitude.y,Hour Longitude.y,Hour Elevation.y,Hour Temperature,Hour Feels Like,Hour Dew Point,Hour Relative Humidity,Hour Wet Bulb Temp,Hour Wind Direction.y,Hour Wind Speed,Hour Cloud Cover percent.y,Hour Cloud Ceiling,Hour Cloud Cover Type,Hour Visibility,Hour Solar Irradiance Beam,Hour Solar Irradiance Diffuse,Hour Solar Irradiance Global,Hour Solar Irradiance Possible Beam,Hour Solar Irradiance Possible Global,Hour Solar Irradiance ET,Hour Probability of Precipitation,Hour Water EQ,Hour Snowfall.y,Hour Pressure Inches,Hour Pressure Millibars,Hour Weather Code Digit Numeric,Hour Weather Code Alpha Numeric,Hour Weather Text.y,Data Date_1
1,CYED 01/Apr/2017 07,1,4/1/17,1-Apr-17,1-Apr-17, Ducks,2, Oilers,3,W,-129,5,NA,Cam Talbot,John Gibson,18347,0,CYED,CYED,O,1-Apr-17,MST,53.667,-113.467,2244,48,34,41,48,29,39,27,33,87,61,74,43,33,37,13,5,258,13,69,9,2584,424,3009,69,786,0,0,29.85,29.71,29.77,1012.8,1008,1010,46,CLR,Fair,CYED,O,MST,53.667,-113.467,2244,39,34,28,65,35,210,7,100,54,OVC,9,17,3,20,34,37,49,0,0,0,29.8,1010.9,40,MC,Overcast,1-Apr-17
2,CYED 01/Dec/2014 07,2,12/1/14,1-Dec-14,1-Dec-14, Coyotes,5, Oilers,2,,NA,,NA,,,16839,1,CYED,CYED,O,1-Dec-14,MST,53.667,-113.467,2244,14,-3,4,12,-21,7,-13,-4,78,56,66,10,-3,2,13,7,239,13,74,11.3,495,59,554,165,471,0.02,0.4,29.89,29.76,29.82,1018.4,1013,1015.5,46,CLR,Fair,CYED,O,MST,53.667,-113.467,2244,1,-13,-8,65,0,240,9,100,163,CLR,9,0,0,0,0,0,0,0,0,0,29.84,1016.4,46,CLR,Fair,1-Dec-14
3,CYED 01/Dec/2018 07,3,12/1/18,1-Dec-18,1-Dec-18,Golden Knights,1, Oilers,2,L ,-122,U 5.5,-112,M. Fleury,M. Koskinen,18347,0,CYED,CYED,O,1-Dec-18,MST,53.667,-113.467,2257,28,21,25,28,13,25,19,23,96,81,91,27,21,25,9,6,69,16,100,2.3,300,59,359,0,471,0.11,1,30.1,29.84,29.96,1019.3,1010.5,1016.6,9,SNOW,Light Snow,CYED,O,MST,53.667,-113.467,2257,27,18,25,93,26,100,8,100,1,VV,0.1,0,0,0,0,0,0,0,0,0,29.88,1015.4,36,MC,Sky Obscured,1-Dec-18
4,CYED 01/Feb/2018 07,4,2/1/18,1-Feb-18,1-Feb-18, Avalanche,4, Oilers,3,L,-135,5.5,-114,Al Montoya,Jonathan Bernier,18347,0,CYED,CYED,O,1-Feb-18,MST,53.667,-113.467,2244,-2,-9,-5,-2,-21,-11,-16,-13,74,64,68,-3,-10,-6,10,5,348,14,95,6.4,614,108,722,62,535,0.15,0.1,30.29,30.2,30.25,1033.1,1031,1031.7,18,RAIN,Light Rain,CYED,O,MST,53.667,-113.467,2244,-6,-17,-13,70,-7,110,5,100,26,OVC,1.2,0,0,0,0,0,0,0,0.01,0,30.25,1031.3,9,SNOW,Light Snow,1-Feb-18
5,CYED 01/Mar/2014 07,5,3/1/14,1-Mar-14,1-Mar-14, Flames,2, Oilers,1,,NA,,NA,,,16839,#N/A,CYED,CYED,O,1-Mar-14,MST,53.667,-113.467,2244,-9,-30,-19,-9,-37,-24,-38,-31,67,43,54,-10,-29,-19,10,4,123,10,0,9,2303,231,2534,648,648,0,0,30.55,30.42,30.49,1042.9,1038.5,1041.1,46,CLR,Fair,CYED,O,MST,53.667,-113.467,2244,-29,-29,-38,60,-29,0,0,0,214,CLR,9,0,0,0,0,0,0,0,0,0,30.53,1042.8,46,CLR,Fair,1-Mar-14
6,CYED 01/Mar/2018 07,6,3/1/18,1-Mar-18,1-Mar-18, Predators,4, Oilers,2,L,140,6,NA,Cam Talbot,Pekka Rinne,18347,0,CYED,CYED,O,1-Mar-18,MST,53.667,-113.467,2244,23,10,17,23,0,12,1,7,79,53,66,20,9,15,23,13,82,30,57,9,2203,231,2434,499,648,0,0,30.16,29.88,30.04,1026,1015.7,1021.6,46,CLR,Fair,CYED,O,MST,53.667,-113.467,2244,14,1,7,73,12,60,10,85,105,CLR,9,0,0,0,0,0,0,0,0,0,29.96,1018.9,46,CLR,Fair,1-Mar-18
7,CYED 01/Nov/2014 07,7,11/1/14,1-Nov-14,1-Nov-14, Canucks,3, Oilers,2,,NA,,NA,,,16839,0,CYED,CYED,O,1-Nov-14,MST,53.667,-113.467,2244,46,30,39,45,31,37,28,34,93,66,83,40,32,37,12,5,288,20,80,9,1088,133,1221,251,564,0.06,0,29.87,29.69,29.82,1013.9,1007.3,1012.1,46,CLR,Fair,CYED,O,MST,53.667,-113.467,2244,37,33,34,87,36,300,6,100,60,OVC,9,0,0,0,0,0,0,0,0,0,29.79,1011.2,40,MC,Overcast,1-Nov-14
8,CYED 01/Nov/2017 07,8,11/1/17,1-Nov-17,1-Nov-17, Penguins,3, Oilers,2,L,-116,6,-105,Cam Talbot,Matt Murray,18347,0,CYED,CYED,O,1-Nov-17,MST,53.667,-113.467,2244,31,16,25,30,6,28,12,22,93,80,88,29,17,25,15,11,357,21,98,3.9,769,133,900,24,564,0.18,2.2,30.12,29.59,29.85,1024.2,1004.7,1014.2,9,SNOW,Light Snow,CYED,O,MST,53.667,-113.467,2244,28,17,27,93,28,360,14,100,9,OVC,1.5,0,0,0,0,0,0,99,0.01,0.1,29.73,1009.7,9,SNOW,Light Snow,1-Nov-17
9,CYED 01/Nov/2018 07,9,11/1/18,1-Nov-18,1-Nov-18,Blackhawks,0, Oilers,4,L ,140,U 6,-124,C. Ward,M. Koskinen,18347,0,CYED,CYED,O,1-Nov-18,MST,53.667,-113.467,2257,36,30,33,36,20,36,25,29,100,78,86,36,28,31,13,8,14,20,99,12.1,676,133,807,6,564,0.03,0.3,30.06,29.78,29.96,1020.9,1008.5,1017.3,40,MC,Overcast,CYED,O,MST,53.667,-113.467,2257,33,25,30,90,32,350,10,100,10,OVC,15,0,0,0,0,0,0,0,0,0,29.99,1018.3,40,MC,Overcast,1-Nov-18
10,CYED 01/Oct/2013 07,10,10/1/13,1-Oct-13,1-Oct-13, Jets,5, Oilers,4,,NA,,NA,,,16839,#N/A,CYED,CYED,O,1-Oct-13,MST,53.667,-113.467,2244,46,35,41,46,27,39,34,37,94,71,86,42,35,40,16,10,315,22,86,8.9,1870,293,2160,36,696,0.04,0,29.86,29.52,29.7,1013.5,1001.4,1007.6,40,MC,Overcast,CYED,O,MST,53.667,-113.467,2244,40,35,38,93,40,280,8,100,30,OVC,9,1,0,1,2,2,3,0,0,0,29.62,1004.9,40,MC,Overcast,1-Oct-13
