Key2,GameKey,FullDate,Month,Day,Year,Date2,Date3,Season,Start (ET),Hour,Start-Military,Visitor/Neutral,Visitor Pts,Home/Neutral,Home Pts,OT,SO,Attendance,Notes,MonthW,MoneyLineAway,MoneyLineHome,Covered Line,Away ATS,Home ATS,CoveredO/U,O/U,DateWeek,Keyyr,Capacity,New Stadium Season,Years in Stadium,City Played,Weather Station,WKey,Weather Station Code.x,Data Type.x,Data Date,Time Zone.x,Latitude.x,Longitude.x,Elevation.x,Daily High Temperature,Daily Low Temperature,Daily Average Temperature,Daily Warmest Heat Index,Daily Coldest Wind Chill Temperature,Daily High Dew Point,Daily Low Dew Point,Daily AVG Dew Point,Daily High Relative Humidity,Daily Low Relative Humidity,Daily AVG Humidity,Daily High Wet Bulb Temp,Daily Low Wet Bulb Temp,Daily AVG Wet Bulb Temp,Daily High Wind Speed,Daily AVG Wind Speed,Daily Wind Direction,Daily High Wind Gust,Daily Cloud Cover percent,Daily AVG Visability Miles,Daily Total Solar Irradiance Beam,Daily Total Solar Irradiance Diffuse,Daily Total Solar Irradiance Global,Daily Total Minutes of Sunshine,Daily Total Minutes of Sunshine of a cloud free day,Daily Observed Daily Water Equivalent,Daily Snowfall,Daily High Pressure Inches,Daily Low Pressure Inches,Daily AVG Pressure Inches,Daily Highest Pressure Millibars,Daily Low Pressure Millibars,Daily AVG Daily Pressure Millibars,Daily Two Digit Predomite Weather,Daily Weather Code,Daily Weather Text,Hour Temperature,Hour Feels Like,Hour Dew Point,Hour Relative Humidity,Hour Wet Bulb Temp,Hour Wind Direction,Hour Wind Speed,Hour Cloud Cover percent,Hour Cloud Ceiling,Hour Cloud Cover Type,Hour Visibility,Hour Solar Irradiance Beam,Hour Solar Irradiance Diffuse,Hour Solar Irradiance Global,Hour Solar Irradiance Possible Beam,Hour Solar Irradiance Possible Global,Hour Solar Irradiance ET,Hour Probability of Precipitation,Hour Water EQ,Hour Snowfall,Hour Pressure Inches,Hour Pressure Millibars,Hour Weather Code Digit Numeric,Hour Weather Code Alpha Numeric,Hour Weather Text,Militaryminusfour,Minus Four Temperature,Minus Four Feels Like,Minus Four Dew Point,Minus Four Relative Humidity,Minus Four Wet Bulb Temp,Minus Four Wind Direction,Minus Four Wind Speed,Minus Four Cloud Cover percent,Minus Four Cloud Ceiling,Minus Four Cloud Cover Type,Minus Four Visibility,Minus Four Solar Irradiance Beam,Minus Four Solar Irradiance Diffuse,Minus Four Solar Irradiance Global,Minus Four Solar Irradiance Possible Beam,Minus Four Solar Irradiance Possible Global,Minus Four Solar Irradiance ET,Minus Four Probability of Precipitation,Minus Four Water EQ,Minus Four Snowfall,Minus Four Pressure Inches,Minus Four Pressure Millibars,Minus Four Weather Code Digit Numeric,Minus Four Weather Code Alpha Numeric,Minus Four Weather Text
CYED 01/Apr/2017 18,EDM42826,4/1/17,4,1,2017,1-Apr-17,1-Apr-17,2017, 10:00 PM,10,22,ANA,2,EDM,3,1,0,"18,347",0,Apr,117,-129,NA,1.5 (0.5),-1.5,U,5,Saturday,EDM2017,18347,1,0,Edmonton,CYED,CYED42826,CYED,O,1-Apr-17,MST,53.667,-113.467,2244,48,34,41,48,29,39,27,33,87,61,74,43,33,37,13,5,258,13,69,9,2584,424,3009,69,786,0,0,29.85,29.71,29.77,1012.8,1008,1010,46,CLR,Fair,36,29,30,81,33,260,8,100,199,CLR,9,0,0,0,0,0,0,0,0,0,29.76,1010.1,46,CLR,Fair,18,46,41,39,76,43,270,13,62,45,CLR,9,43,6,49,63,69,90,0,0,0,29.72,1008.5,46,CLR,Fair
CYED 01/Dec/2014 17,EDM41974,12/1/14,12,1,2014,1-Dec-14,1-Dec-14,2015, 9:30 PM,9,21,ARI,5,EDM,2,0,0,"16,839",0,Dec,101,-111,NA,-1.5 (1.5),1.5,O,5.5,Monday,EDM2015,17100,0,40,Edmonton,CYED,CYED41974,CYED,O,1-Dec-14,MST,53.667,-113.467,2244,14,-3,4,12,-21,7,-13,-4,78,56,66,10,-3,2,13,7,239,13,74,11.3,495,59,554,165,471,0.02,0.4,29.89,29.76,29.82,1018.4,1013,1015.5,46,CLR,Fair,9,-2,3,78,8,240,6,70,50,BKN,12,0,0,0,0,0,0,0,0,0,29.77,1013.7,8,SHWR,Snow Showers,17,3,3,-4,72,2,160,3,75,250,BKN,15,0,0,0,0,0,0,0,0,0,29.79,1014.6,52,PC,High Clouds
CYED 01/Dec/2018 18,EDM43435,12/1/18,12,1,2018,1-Dec-18,1-Dec-18,2019, 10:00 PM,10,22,VGK,1,EDM,2,0,0,"18,347",0,Dec,-110,-100,NA,-1.5,1.5 (2.5),U,5.5,Saturday,EDM2019,18347,0,2,Edmonton,CYED,CYED43435,CYED,O,1-Dec-18,MST,53.667,-113.467,2257,28,21,25,28,13,25,19,23,96,81,91,27,21,25,9,6,69,16,100,2.3,300,59,359,0,471,0.11,1,30.1,29.84,29.96,1019.3,1010.5,1016.6,9,SNOW,Light Snow,21,13,20,96,21,80,6,100,6,OVC,3,0,0,0,0,0,0,99,0.01,0.1,30.09,1019,9,SNOW,Light Snow,18,23,15,21,92,22,80,7,100,8,OVC,3.1,0,0,0,0,0,0,99,0.02,0.2,30.08,1018.5,9,SNOW,Light Snow
CYED 01/Feb/2018 17,EDM43132,2/1/18,2,1,2018,1-Feb-18,1-Feb-18,2018, 9:00 PM,9,21,COL,4,EDM,3,1,0,"18,347",0,Feb,122,-135,NA,1.5 (2.5),-1.5,O,5.5,Thursday,EDM2018,18347,0,1,Edmonton,CYED,CYED43132,CYED,O,1-Feb-18,MST,53.667,-113.467,2244,-2,-9,-5,-2,-21,-11,-16,-13,74,64,68,-3,-10,-6,10,5,348,14,95,6.4,614,108,722,62,535,0.15,0.1,30.29,30.2,30.25,1033.1,1031,1031.7,18,RAIN,Light Rain,-5,-18,-14,64,-6,350,6,99,15,OVC,3,0,0,0,0,0,0,0,0.01,0,30.22,1031.6,18,RAIN,Light Rain,17,-4,-17,-12,68,-5,320,6,99,52,OVC,9,0,0,0,0,0,0,0,0.01,0,30.24,1031.3,18,RAIN,Light Rain
CYED 01/Mar/2014 18,EDM41699,3/1/14,3,1,2014,1-Mar-14,1-Mar-14,2014, 10:00 PM,10,22,CGY,2,EDM,1,1,0,"16,839",0,Mar,115,-125,NA,1.5 (2.5),-1.5,U,5.5,Saturday,EDM2014,17100,0,39,Edmonton,CYED,CYED41699,CYED,O,1-Mar-14,MST,53.667,-113.467,2244,-9,-30,-19,-9,-37,-24,-38,-31,67,43,54,-10,-29,-19,10,4,123,10,0,9,2303,231,2534,648,648,0,0,30.55,30.42,30.49,1042.9,1038.5,1041.1,46,CLR,Fair,-18,-34,-29,56,-18,180,6,0,201,CLR,9,0,0,0,0,0,0,0,0,0,30.44,1039.1,46,CLR,Fair,18,-13,-27,-27,47,-13,120,6,0,204,CLR,9,0,0,0,0,0,0,0,0,0,30.45,1039.8,46,CLR,Fair
CYED 01/Mar/2018 17,EDM43160,3/1/18,3,1,2018,1-Mar-18,1-Mar-18,2018, 9:00 PM,9,21,NSH,4,EDM,2,0,0,"18,347",0,Mar,-155,140,NA,-1.5 (0.5),1.5,U,6,Thursday,EDM2018,18347,0,1,Edmonton,CYED,CYED43160,CYED,O,1-Mar-18,MST,53.667,-113.467,2244,23,10,17,23,0,12,1,7,79,53,66,20,9,15,23,13,82,30,57,9,2203,231,2434,499,648,0,0,30.16,29.88,30.04,1026,1015.7,1021.6,46,CLR,Fair,16,1,3,57,13,90,15,100,81,OVC,9,0,0,0,0,0,0,0,0,0,30.14,1025.1,40,MC,Overcast,17,19,5,5,53,16,90,16,20,84,SCT,9,56,6,62,62,68,88,0,0,0,30.11,1024,44,PC,Partly Cloudy
CYED 01/Nov/2014 18,EDM41944,11/1/14,11,1,2014,1-Nov-14,1-Nov-14,2015, 10:00 PM,10,22,VAN,3,EDM,2,0,0,"16,839",0,Nov,-139,126,NA,-1.5,1.5 (0.5),U,5.5,Saturday,EDM2015,17100,0,40,Edmonton,CYED,CYED41944,CYED,O,1-Nov-14,MST,53.667,-113.467,2244,46,30,39,45,31,37,28,34,93,66,83,40,32,37,12,5,288,20,80,9,1088,133,1221,251,564,0.06,0,29.87,29.69,29.82,1013.9,1007.3,1012.1,46,CLR,Fair,34,34,32,93,33,230,3,96,166,CLR,9,0,0,0,0,0,0,0,0,0,29.86,1013.8,46,CLR,Fair,18,39,39,34,81,37,0,0,79,194,CLR,9,0,0,0,0,0,0,0,0,0,29.85,1013.2,46,CLR,Fair
CYED 01/Nov/2018 17,EDM43405,11/1/18,11,1,2018,1-Nov-18,1-Nov-18,2019, 9:00 PM,9,21,CHI,0,EDM,4,0,0,"18,347",0,Nov,144,-160,NA,1.5,-1.5 (2.5),U,6,Thursday,EDM2019,18347,0,2,Edmonton,CYED,CYED43405,CYED,O,1-Nov-18,MST,53.667,-113.467,2257,36,30,33,36,20,36,25,29,100,78,86,36,28,31,13,8,14,20,99,12.1,676,133,807,6,564,0.03,0.3,30.06,29.78,29.96,1020.9,1008.5,1017.3,40,MC,Overcast,30,24,27,86,29,100,6,100,96,OVC,9,0,0,0,0,0,0,0,0,0,29.92,1016.2,40,MC,Overcast,17,32,32,27,82,30,80,3,100,16,OVC,15,0,0,0,0,0,0,0,0,0,30.02,1019.5,40,MC,Overcast
CYED 01/Oct/2013 18,EDM41548,10/1/13,10,1,2013,1-Oct-13,1-Oct-13,2014, 10:00 PM,10,22,WPG,5,EDM,4,0,0,"16,839",0,Oct,118,-128,NA,1.5 (2.5),-1.5,O,5.5,Tuesday,EDM2014,17100,0,39,Edmonton,CYED,CYED41548,CYED,O,1-Oct-13,MST,53.667,-113.467,2244,46,35,41,46,27,39,34,37,94,71,86,42,35,40,16,10,315,22,86,8.9,1870,293,2160,36,696,0.04,0,29.86,29.52,29.7,1013.5,1001.4,1007.6,40,MC,Overcast,37,29,35,94,36,320,10,100,7,OVC,9,0,0,0,0,0,0,99,0.01,0,29.84,1012.7,18,RAIN,Light Rain,18,40,35,37,89,39,340,8,70,15,BKN,9,0,0,0,0,0,0,0,0,0,29.78,1010.6,42,MC,Mostly Cloudy
CYED 02/Apr/2016 18,EDM42462,4/2/16,4,2,2016,2-Apr-16,2-Apr-16,2016, 10:00 PM,10,22,CGY,5,EDM,0,0,0,"16,839",0,Apr,130,-144,NA,1.5 (6.5),-1.5,U,5.5,Saturday,EDM2016,17100,0,41,Edmonton,CYED,CYED42462,CYED,O,2-Apr-16,MST,53.667,-113.467,2244,70,41,55,68,35,34,25,30,60,26,40,51,36,44,24,12,279,31,29,9,3097,439,3537,411,790,0.02,0,29.82,29.59,29.68,1010.8,1002.8,1006.2,45,CLR,Mostly Clear,52,47,25,35,41,310,16,5,96,FEW,9,0,0,0,0,0,0,0,0,0,29.7,1006.5,45,CLR,Mostly Clear,18,63,60,28,27,47,320,20,52,194,CLR,9,53,7,60,72,79,102,0,0,0,29.6,1003.5,46,CLR,Fair
